"code","name","sources","buy_dates","hold_qty","avg_buy_price","latest_price","change_pct_since_buy","pnl_total","pnl_100","latest_day_pct","updated_at","industry","reason_tag"
"000591","太阳能","再选/调仓","2026-03-11","100","6.65","6.65","0","0","0","5.72","2026-03-12 00:18:01","电力","公用事业防御"
"000890","法尔胜","第一批","2026-03-02","100","8.43","9.16","8.66","73","73","5.17","2026-03-12 00:18:01","环保设备Ⅱ","短线动量延续"
"000912","泸天化","第一批","2026-03-02","100","5.35","5.65","5.61","30","30","2.36","2026-03-12 00:18:01","农化制品","化工景气修复"
"002121","科陆电子","再选/调仓","2026-03-05","100","9.62","10.06","4.57","44","44","2.44","2026-03-12 00:18:01","电网设备","短线动量延续"
"002281","光迅科技","再选/调仓","2026-03-12","100","91.49","91.49","0","0","0","6.19","2026-03-12 00:18:01","通信设备","高波动题材回撤"
"002380","科远智慧","再选/调仓","2026-03-09","100","40.5","40.9","0.99","40","40","-2.8","2026-03-12 00:18:01","未知行业","动量衰减观察"
"002405","四维图新","再选/调仓","2026-03-05","100","10.78","10.99","1.95","21","21","0.73","2026-03-12 00:18:01","未知行业","动量衰减观察"
"002452","长高电新","再选/调仓","2026-03-06","100","12.08","12.88","6.62","80","80","8.24","2026-03-12 00:18:01","电网设备","短线动量延续"
"002631","德尔未来","再选/调仓","2026-03-12","100","7.32","7.32","0","0","0","6.24","2026-03-12 00:18:01","家居用品","动量衰减观察"
"002756","永兴材料","再选/调仓","2026-03-11","100","74.27","74.27","0","0","0","5.9","2026-03-12 00:18:01","能源金属","动量衰减观察"
"002897","意华股份","再选/调仓","2026-03-05","100","68.52","71.56","4.44","304","304","-4.83","2026-03-12 00:18:01","未知行业","短线动量延续"
"600108","亚盛集团","第一批","2026-03-02","100","4.37","6.57","50.34","220","220","10.05","2026-03-12 00:18:01","种植业","强势涨停动量"
"600110","诺德股份","再选/调仓","2026-03-12","100","8.2","8.2","0","0","0","5.94","2026-03-12 00:18:01","电池","动量衰减观察"
"600157","永泰能源","再选/调仓","2026-03-11","100","1.96","1.96","0","0","0","5.95","2026-03-12 00:18:01","电力","公用事业防御"
"600216","浙江医药","再选/调仓","2026-03-12","100","17.69","17.69","0","0","0","5.61","2026-03-12 00:18:01","化学制药","化工轮动分化"
"600227","赤天化","第一批","2026-03-02","100","3.17","4.05","27.76","88","88","5.74","2026-03-12 00:18:01","农化制品","化工景气强化"
"600256","广汇能源","第一批","2026-03-02","100","6.47","7.03","8.66","56","56","5.08","2026-03-12 00:18:01","炼化及贸易","资源周期驱动"
"600268","国电南自","再选/调仓","2026-03-12","100","17.29","17.29","0","0","0","7.26","2026-03-12 00:18:01","电网设备","动量衰减观察"
"600452","涪陵电力","第一批","2026-03-02","100","14.61","16.05","9.86","144","144","0.31","2026-03-12 00:18:01","电力","公用事业防御"
"600703","三安光电","再选/调仓","2026-03-12","100","17.04","17.04","0","0","0","5.77","2026-03-12 00:18:01","光学光电子","高波动题材回撤"
"600714","金瑞矿业","第一批","2026-03-02","100","19.76","21.63","9.46","187","187","2.27","2026-03-12 00:18:01","化学原料","化工景气修复"
"600722","金牛化工","第一批","2026-03-02","100","10.32","14","35.66","368","368","9.98","2026-03-12 00:18:01","化学原料","化工景气强化"
"601611","中国核建","再选/调仓","2026-03-05","100","16.79","17.28","2.92","49","49","-0.69","2026-03-12 00:18:01","未知行业","动量衰减观察"
"601778","晶科科技","再选/调仓","2026-03-09","200","5.1","5.9","15.69","160","80","5.17","2026-03-12 00:18:01","电力","公用事业防御"
"601857","中国石油","第一批","2026-03-02","100","11.95","12.13","1.51","18","18","1.17","2026-03-12 00:18:01","炼化及贸易","资源周期驱动"
"601868","中国能建","再选/调仓","2026-03-10","100","3.14","3.45","9.87","31","31","9.87","2026-03-12 00:18:01","基础建设","强势涨停动量"
"603009","北特科技","再选/调仓","2026-03-05","100","53.75","53.32","-0.8","-43","-43","0.7","2026-03-12 00:18:01","汽车零部件","动量衰减观察"
"603381","永臻股份","再选/调仓","2026-03-10","100","27.45","28.25","2.91","80","80","2.91","2026-03-12 00:18:01","光伏设备","动量衰减观察"
"603588","高能环境","再选/调仓","2026-03-09","100","14.02","15.13","7.92","111","111","4.27","2026-03-12 00:18:01","环境治理","短线动量延续"
